Transcript Length	0_min_RNA_hydrolysis_rep_1-dedup.bed	0_min_RNA_hydrolysis_rep_2-dedup.bed	10_min_30C_RNA_hydrolysis_rep_1-dedup.bed	10_min_30C_RNA_hydrolysis_rep_2-dedup.bed	10_min_37C_RNA_hydrolysis_rep_1-dedup.bed	10_min_37C_RNA_hydrolysis_rep_2-dedup.bed	1_min_30C_RNA_hydrolysis_rep_1-dedup.bed	1_min_30C_RNA_hydrolysis_rep_2-dedup.bed	20_min_ice_RNA_hydrolysis_rep_1-dedup.bed	20_min_ice_RNA_hydrolysis_rep_2-dedup.bed	3_min_30C_RNA_hydrolysis_rep_1-dedup.bed	3_min_30C_RNA_hydrolysis_rep_2-dedup.bed
0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	0	0	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0	0	0	0	0
15	0	0	0	0	0	0	0	0	0	0	0	0
16	0	0	0	0	0	0	0	0	0	0	0	0
17	31698	48365	103969	134591	129047	144008	39015	59223	71040	102933	45183	50785
18	31420	49129	101063	136886	131161	149880	40562	59223	70372	102689	46965	53220
19	29666	50036	95540	126979	131750	152177	39684	55300	66067	99216	45277	52587
20	30592	51029	94826	126607	131016	154708	41482	57028	64800	95325	46824	54422
21	30245	46638	89944	123835	129988	156623	42477	55484	63335	102848	47355	55831
22	33302	47664	88131	127440	133109	163255	47152	59138	62083	83074	51334	60000
23	37643	50272	91936	132637	134145	167350	53219	64178	64457	88128	56223	65385
24	46174	54787	95417	143396	139153	175436	62296	72033	69298	89043	64679	73796
25	55030	62300	100141	151400	144864	185427	72269	80240	73836	94185	73429	82059
26	66206	73406	105848	164053	151387	195490	86950	90916	78882	95286	84339	93052
27	81431	81702	107108	178101	160166	207983	100966	102963	84432	88831	97470	106077
28	100186	91736	116963	194670	171517	224189	121934	119136	92861	96503	114826	122315
29	120840	105495	127973	214891	180975	238798	147682	137403	102550	106742	134236	140796
30	160532	135511	155418	249430	197583	259777	184735	165867	127219	144134	166912	167589
31	198942	153749	161028	281320	211908	280698	226451	194730	139369	130816	199620	197972
32	247526	169489	174516	317590	226563	302092	279195	228492	154780	128951	237734	231718
33	297313	196840	185158	351195	240390	322674	331396	260181	170900	125205	276047	266101
34	338519	216067	196949	374982	254820	343278	375954	286359	185523	133706	308920	293098
35	361452	226852	202455	385952	259848	352874	406277	302586	192321	134030	330381	312067
36	385060	243532	206574	396559	267202	365525	434486	315543	203170	135905	350635	330038
37	410807	250935	210545	405034	272929	378890	462749	328821	204086	128721	370753	346550
38	430006	239983	208836	407073	275775	384037	483411	338115	205073	121943	381168	359328
39	429782	240207	210544	405425	279315	391393	492188	339828	213673	131488	388637	368477
40	434845	238521	208544	407659	279996	396083	503613	344811	213201	127501	396175	378507
41	438328	241199	210249	405390	278575	394362	512294	349614	216649	136885	401072	384833
42	409778	232101	196333	381055	259421	379748	488214	323117	200693	128634	372908	367951
43	389119	223389	186976	359386	245265	363250	464631	307945	196636	130125	355241	353743
44	373650	232660	187178	349800	236822	352207	455651	303721	202113	137950	345785	347778
45	359470	217281	178298	343317	230667	348300	447105	294213	191599	126334	340235	346693
46	348606	219202	190367	348066	237522	353356	447963	303224	204953	141632	350107	354835
47	322693	197679	186076	336656	230777	345381	434088	296384	207770	146317	340170	349732
48	308220	196163	203448	334763	227499	340882	424172	294531	216243	179481	337666	348881
49	288089	194125	191702	326997	221565	333270	414902	285625	207182	160895	329358	345685
50	261274	190803	183023	312901	208882	317099	388696	275695	206755	156874	313231	331798
51	245007	181156	176228	304907	200044	303251	377856	269986	204053	157486	303744	324615
52	230791	174365	174254	297979	190383	291051	366279	262249	196022	145877	296077	318255
53	212163	171287	165357	282148	178960	276403	347480	249454	184480	138268	278559	304324
54	203018	176028	166356	276603	169204	262423	337565	241471	188654	144955	271040	297175
55	188579	172174	163838	267224	159822	249607	323876	235216	189784	152291	261321	289404
56	176329	172157	163272	264763	150676	235306	313815	236751	195991	152047	253753	285081
57	164751	176268	163381	257433	142444	224767	303590	232228	203063	156540	248582	277684
58	154976	192298	169471	254013	137252	215276	293376	227655	204568	168458	242219	271536
59	149792	178711	208677	251712	126933	201136	284318	224487	213721	189829	236503	263366
60	142511	160689	185643	247637	120547	191706	277677	220515	207406	174780	232347	258297
61	136729	172060	168110	242199	114817	181702	274179	217791	199023	162230	229183	256952
